Start,End,Label
1518195570275.00 ,1518195575424.00 ,0
1518195575424.00 ,1518195586290.00 ,1
1518195586290.00 ,1518195596301.00 ,0
1518195596301.00 ,1518195606317.00 ,2
1518195606317.00 ,1518195617303.00 ,0
1518195617303.00 ,1518195628304.00 ,3
1518195628304.00 ,1518195639303.00 ,0
1518195639303.00 ,1518195650303.00 ,1
1518195650303.00 ,1518195660323.00 ,0
1518195660323.00 ,1518195671301.00 ,2
1518195671301.00 ,1518195681318.00 ,0
1518195681318.00 ,1518195691562.00 ,3
1518195691562.00 ,1518195702389.00 ,0
1518195702389.00 ,1518195713318.00 ,1
1518195713318.00 ,1518195724293.00 ,0
1518195724293.00 ,1518195734311.00 ,2
1518195734311.00 ,1518195745303.00 ,0
1518195745303.00 ,1518195756297.00 ,3
1518195756297.00 ,1518195767292.00 ,0
1518195767292.00 ,1518195777314.00 ,1
1518195777314.00 ,1518195788307.00 ,0
1518195788307.00 ,1518195799289.00 ,2
1518195799289.00 ,1518195809551.00 ,0
1518195809551.00 ,1518195820462.00 ,3
