Start,End,Label,,,,
1518196688317.00 ,1518196693414.00 ,0,,,,
1518196693414.00 ,1518196704355.00 ,1,,,,
1518196704355.00 ,1518196715340.00 ,0,,,,
1518196715340.00 ,1518196725350.00 ,2,,,,
1518196725350.00 ,1518196736342.00 ,0,,,,
1518196736342.00 ,1518196747339.00 ,3,,,,
1518196747339.00 ,1518196757354.00 ,0,,,,
1518196757354.00 ,1518196768349.00 ,1,,,,
1518196768349.00 ,1518196779332.00 ,0,,,,
1518196779332.00 ,1518196790333.00 ,2,,,,
1518196790333.00 ,1518196800363.00 ,0,,,,
1518196800363.00 ,1518196811356.00 ,3,,,,
1518196811356.00 ,1518196822351.00 ,0,,,,
1518196822351.00 ,1518196833353.00 ,1,,,,
1518196833353.00 ,1518196844337.00 ,0,,,,
1518196844337.00 ,1518196854363.00 ,2,,,,
1518196854363.00 ,1518196865331.00 ,0,,,,
1518196865331.00 ,1518196876328.00 ,3,,,,
1518196876328.00 ,1518196886345.00 ,0,,,,
1518196886345.00 ,1518196896355.00 ,1,,,,
1518196896355.00 ,1518196907329.00 ,0,,,,
1518196907329.00 ,1518196918341.00 ,2,,,,
1518196918341.00 ,1518196929345.00 ,0,,,,
1518196929345.00 ,1518196940341.00 ,3,,,,
