Time,AccelX,AccelY,AccelZ
1518198096242.00 ,2.4974823,4.634659,9.254257
1518198096443.00 ,0.91215515,4.156204,8.882919
1518198096645.00 ,0.712204,3.623001,8.878159
1518198096846.00 ,1.5286713,3.8610382,9.194748
1518198097047.00 ,2.7355194,4.044327,8.930527
1518198097249.00 ,3.2996674,0.7427521,2.0964813
1518198097450.00 ,7.974716,-5.8175507,5.68132
1518198097652.00 ,12.273666,-6.5102386,-4.8994293
1518198097853.00 ,6.65123,-6.8863373,-2.0096588
1518198098054.00 ,9.702866,-8.064621,1.7013397
1518198098256.00 ,9.971848,-12.3849945,-3.1546173
1518198098457.00 ,2.5998383,0.33570862,-3.345047
1518198098659.00 ,4.420822,-4.0655975,8.337814
1518198098860.00 ,-1.2135162,-7.7670746,2.6511078
1518198099062.00 ,9.502914,-5.3152924,-0.8004303
1518198099263.00 ,10.18132,-7.9575043,3.986496
1518198099464.00 ,4.894516,-0.73783875,5.7265472
1518198099666.00 ,6.325119,-6.729233,7.3190155
1518198099867.00 ,3.970932,-8.935837,-3.4116974
1518198100069.00 ,5.356308,-1.9161224,0.8634491
1518198100270.00 ,11.183456,-16.603012,-5.582596
1518198100473.00 ,0.7621918,-0.7592621,0.23979187
1518198100675.00 ,14.016098,-15.1367035,-7.258377
1518198100875.00 ,5.0468597,-9.261948,15.314682
1518198101077.00 ,-3.1439972,-3.0848846,-0.6695099
1518198101279.00 ,1.4429779,-13.537094,3.2985687
1518198101481.00 ,-4.4293976,-4.4702606,-6.9132233
1518198101682.00 ,1.0168915,-3.670456,-0.90992737
1518198101882.00 ,11.600021,-16.97435,-10.976517
1518198102083.00 ,9.274399,-1.2377167,-2.5476227
1518198102286.00 ,-1.3039703,-0.08799744,1.9941254
1518198102487.00 ,-0.25898743,-15.410446,-23.594864
1518198102688.00 ,-5.6291046,-6.731613,-21.77388
1518198102889.00 ,2.0047455,-0.39744568,0.0231781
1518198103091.00 ,6.4822235,-8.76445,-3.5140533
1518198103294.00 ,-2.565567,-38.84163,-9.305496
1518198103495.00 ,-5.048294,9.040726,-10.212418
1518198103696.00 ,1.6524506,-6.6316376,-3.7782745
1518198103898.00 ,17.072495,-20.173569,5.976486
1518198104099.00 ,-5.8457184,-2.568344,-6.37764
1518198104299.00 ,-2.058548,-0.14274597,3.5651703
1518198104501.00 ,14.199387,-8.754929,-7.474991
1518198104702.00 ,-0.46846008,-10.256943,-0.48860168
1518198104903.00 ,1.578659,5.3963776,5.0410004
1518198105105.00 ,5.7562103,-8.983444,-3.6164093
1518198105308.00 ,20.107468,-33.53221,-6.327652
