Start,End,Label
1517356938718,1517356943722,0
1517356943722,1517356953732,1
1517356953732,1517356963741,0
1517356963741,1517356973749,2
1517356973749,1517356983756,0
1517356983756,1517356993764,3
1517356993764,1517357003770,0
1517357003770,1517357013778,1
1517357013778,1517357023788,0
1517357023788,1517357033797,2
1517357033797,1517357043802,0
1517357043802,1517357053810,3
1517357053810,1517357063817,0
1517357063817,1517357073823,1
1517357073823,1517357083831,0
1517357083831,1517357093838,2
1517357093838,1517357103846,0
1517357103846,1517357113853,3
1517357113853,1517357123860,0
1517357123860,1517357133867,1
1517357133867,1517357143872,0
1517357143872,1517357153881,2
1517357153881,1517357163892,0
1517357163892,1517357173902,3
