Start,End,Label,,
1517357555945.00,1517357560949.00,0,,
1517357560949.00,1517357570959.00,1,,
1517357570959.00,1517357580968.00,0,,
1517357580968.00,1517357590976.00,2,,
1517357590976.00,1517357600983.00,0,,
1517357600983.00,1517357610991.00,3,,
1517357610991.00,1517357620997.00,0,,
1517357620997.00,1517357631005.00,1,,
1517357631005.00,1517357641015.00,0,,
1517357641015.00,1517357651024.00,2,,
1517357651024.00,1517357661029.00,0,,
1517357661029.00,1517357671037.00,3,,
1517357671037.00,1517357681044.00,0,,
1517357681044.00,1517357691050.00,1,,
1517357691050.00,1517357701058.00,0,,
1517357701058.00,1517357711065.00,2,,
1517357711065.00,1517357721073.00,0,,
1517357721073.00,1517357731080.00,3,,
1517357731080.00,1517357741087.00,0,,
1517357741087.00,1517357751094.00,1,,
1517357751094.00,1517357761099.00,0,,
1517357761099.00,1517357771108.00,2,,
1517357771108.00,1517357781119.00,0,,
1517357781119.00,1517357791129.00,3,,
