Start,End,Label
1518025102541,1518025107548,Get ready
1518025107548,1518025117556,Run
1518025117556,1518025127563,Rest
1518025127563,1518025137574,Walk
1518025137574,1518025147579,Rest
1518025147579,1518025157587,Jumping Jacks
1518025157587,1518025167595,Rest
1518025167595,1518025177605,Run
1518025177605,1518025187613,Rest
1518025187613,1518025197624,Walk
1518025197624,1518025207633,Rest
1518025207633,1518025217640,Jumping Jacks
1518025217640,1518025227649,Rest
1518025227649,1518025237658,Run
1518025237658,1518025247665,Rest
1518025247665,1518025257673,Walk
1518025257673,1518025267681,Rest
1518025267681,1518025277689,Jumping Jacks
1518025277689,1518025287698,Rest
1518025287698,1518025297707,Run
1518025297707,1518025307718,Rest
1518025307718,1518025317729,Walk
1518025317729,1518025327740,Rest
1518025327740,1518025337747,Jumping Jacks
