Start,End
1518195570275.0,1518195571275.0
1518195570375.0,1518195571375.0
1518195570475.0,1518195571475.0
1518195570575.0,1518195571575.0
1518195570675.0,1518195571675.0
1518195570775.0,1518195571775.0
1518195570875.0,1518195571875.0
1518195570975.0,1518195571975.0
1518195571075.0,1518195572075.0
1518195571175.0,1518195572175.0
1518195571275.0,1518195572275.0
1518195571375.0,1518195572375.0
1518195571475.0,1518195572475.0
1518195571575.0,1518195572575.0
1518195571675.0,1518195572675.0
1518195571775.0,1518195572775.0
1518195571875.0,1518195572875.0
1518195571975.0,1518195572975.0
1518195572075.0,1518195573075.0
1518195572175.0,1518195573175.0
1518195572275.0,1518195573275.0
1518195572375.0,1518195573375.0
1518195572475.0,1518195573475.0
1518195572575.0,1518195573575.0
1518195572675.0,1518195573675.0
1518195572775.0,1518195573775.0
1518195572875.0,1518195573875.0
1518195572975.0,1518195573975.0
1518195573075.0,1518195574075.0
1518195573175.0,1518195574175.0
1518195573275.0,1518195574275.0
1518195573375.0,1518195574375.0
1518195573475.0,1518195574475.0
1518195573575.0,1518195574575.0
1518195573675.0,1518195574675.0
1518195573775.0,1518195574775.0
1518195573875.0,1518195574875.0
1518195573975.0,1518195574975.0
1518195574075.0,1518195575075.0
1518195574175.0,1518195575175.0
1518195574275.0,1518195575275.0
1518195574375.0,1518195575375.0
1518195574475.0,1518195575475.0
1518195574575.0,1518195575575.0
1518195574675.0,1518195575675.0
1518195574775.0,1518195575775.0
1518195574875.0,1518195575875.0
1518195574975.0,1518195575975.0
1518195575075.0,1518195576075.0
1518195575175.0,1518195576175.0
1518195575275.0,1518195576275.0
1518195575375.0,1518195576375.0
1518195575475.0,1518195576475.0
1518195575575.0,1518195576575.0
1518195575675.0,1518195576675.0
1518195575775.0,1518195576775.0
1518195575875.0,1518195576875.0
1518195575975.0,1518195576975.0
1518195576075.0,1518195577075.0
1518195576175.0,1518195577175.0
1518195576275.0,1518195577275.0
1518195576375.0,1518195577375.0
1518195576475.0,1518195577475.0
1518195576575.0,1518195577575.0
1518195576675.0,1518195577675.0
1518195576775.0,1518195577775.0
1518195576875.0,1518195577875.0
1518195576975.0,1518195577975.0
1518195577075.0,1518195578075.0
1518195577175.0,1518195578175.0
1518195577275.0,1518195578275.0
1518195577375.0,1518195578375.0
1518195577475.0,1518195578475.0
1518195577575.0,1518195578575.0
1518195577675.0,1518195578675.0
1518195577775.0,1518195578775.0
1518195577875.0,1518195578875.0
1518195577975.0,1518195578975.0
1518195578075.0,1518195579075.0
1518195578175.0,1518195579175.0
1518195578275.0,1518195579275.0
1518195578375.0,1518195579375.0
1518195578475.0,1518195579475.0
1518195578575.0,1518195579575.0
1518195578675.0,1518195579675.0
1518195578775.0,1518195579775.0
1518195578875.0,1518195579875.0
1518195578975.0,1518195579975.0
1518195579075.0,1518195580075.0
1518195579175.0,1518195580175.0
1518195579275.0,1518195580275.0
1518195579375.0,1518195580375.0
1518195579475.0,1518195580475.0
1518195579575.0,1518195580575.0
1518195579675.0,1518195580675.0
1518195579775.0,1518195580775.0
1518195579875.0,1518195580875.0
1518195579975.0,1518195580975.0
1518195580075.0,1518195581075.0
1518195580175.0,1518195581175.0
1518195580275.0,1518195581275.0
1518195580375.0,1518195581375.0
1518195580475.0,1518195581475.0
1518195580575.0,1518195581575.0
1518195580675.0,1518195581675.0
1518195580775.0,1518195581775.0
1518195580875.0,1518195581875.0
1518195580975.0,1518195581975.0
1518195581075.0,1518195582075.0
1518195581175.0,1518195582175.0
1518195581275.0,1518195582275.0
1518195581375.0,1518195582375.0
1518195581475.0,1518195582475.0
1518195581575.0,1518195582575.0
1518195581675.0,1518195582675.0
1518195581775.0,1518195582775.0
1518195581875.0,1518195582875.0
1518195581975.0,1518195582975.0
1518195582075.0,1518195583075.0
1518195582175.0,1518195583175.0
1518195582275.0,1518195583275.0
1518195582375.0,1518195583375.0
1518195582475.0,1518195583475.0
1518195582575.0,1518195583575.0
1518195582675.0,1518195583675.0
1518195582775.0,1518195583775.0
1518195582875.0,1518195583875.0
1518195582975.0,1518195583975.0
1518195583075.0,1518195584075.0
1518195583175.0,1518195584175.0
1518195583275.0,1518195584275.0
1518195583375.0,1518195584375.0
1518195583475.0,1518195584475.0
1518195583575.0,1518195584575.0
1518195583675.0,1518195584675.0
1518195583775.0,1518195584775.0
1518195583875.0,1518195584875.0
1518195583975.0,1518195584975.0
1518195584075.0,1518195585075.0
1518195584175.0,1518195585175.0
1518195584275.0,1518195585275.0
1518195584375.0,1518195585375.0
1518195584475.0,1518195585475.0
1518195584575.0,1518195585575.0
1518195584675.0,1518195585675.0
1518195584775.0,1518195585775.0
1518195584875.0,1518195585875.0
1518195584975.0,1518195585975.0
1518195585075.0,1518195586075.0
1518195585175.0,1518195586175.0
1518195585275.0,1518195586275.0
1518195585375.0,1518195586375.0
1518195585475.0,1518195586475.0
1518195585575.0,1518195586575.0
1518195585675.0,1518195586675.0
1518195585775.0,1518195586775.0
1518195585875.0,1518195586875.0
1518195585975.0,1518195586975.0
1518195586075.0,1518195587075.0
1518195586175.0,1518195587175.0
1518195586275.0,1518195587275.0
1518195586375.0,1518195587375.0
1518195586475.0,1518195587475.0
1518195586575.0,1518195587575.0
1518195586675.0,1518195587675.0
1518195586775.0,1518195587775.0
1518195586875.0,1518195587875.0
1518195586975.0,1518195587975.0
1518195587075.0,1518195588075.0
1518195587175.0,1518195588175.0
1518195587275.0,1518195588275.0
1518195587375.0,1518195588375.0
1518195587475.0,1518195588475.0
1518195587575.0,1518195588575.0
1518195587675.0,1518195588675.0
1518195587775.0,1518195588775.0
1518195587875.0,1518195588875.0
1518195587975.0,1518195588975.0
1518195588075.0,1518195589075.0
1518195588175.0,1518195589175.0
1518195588275.0,1518195589275.0
1518195588375.0,1518195589375.0
1518195588475.0,1518195589475.0
1518195588575.0,1518195589575.0
1518195588675.0,1518195589675.0
1518195588775.0,1518195589775.0
1518195588875.0,1518195589875.0
1518195588975.0,1518195589975.0
1518195589075.0,1518195590075.0
1518195589175.0,1518195590175.0
1518195589275.0,1518195590275.0
1518195589375.0,1518195590375.0
1518195589475.0,1518195590475.0
1518195589575.0,1518195590575.0
1518195589675.0,1518195590675.0
1518195589775.0,1518195590775.0
1518195589875.0,1518195590875.0
1518195589975.0,1518195590975.0
1518195590075.0,1518195591075.0
1518195590175.0,1518195591175.0
1518195590275.0,1518195591275.0
1518195590375.0,1518195591375.0
1518195590475.0,1518195591475.0
1518195590575.0,1518195591575.0
1518195590675.0,1518195591675.0
1518195590775.0,1518195591775.0
1518195590875.0,1518195591875.0
1518195590975.0,1518195591975.0
1518195591075.0,1518195592075.0
1518195591175.0,1518195592175.0
1518195591275.0,1518195592275.0
1518195591375.0,1518195592375.0
1518195591475.0,1518195592475.0
1518195591575.0,1518195592575.0
1518195591675.0,1518195592675.0
1518195591775.0,1518195592775.0
1518195591875.0,1518195592875.0
1518195591975.0,1518195592975.0
1518195592075.0,1518195593075.0
1518195592175.0,1518195593175.0
1518195592275.0,1518195593275.0
1518195592375.0,1518195593375.0
1518195592475.0,1518195593475.0
1518195592575.0,1518195593575.0
1518195592675.0,1518195593675.0
1518195592775.0,1518195593775.0
1518195592875.0,1518195593875.0
1518195592975.0,1518195593975.0
1518195593075.0,1518195594075.0
1518195593175.0,1518195594175.0
1518195593275.0,1518195594275.0
1518195593375.0,1518195594375.0
1518195593475.0,1518195594475.0
1518195593575.0,1518195594575.0
1518195593675.0,1518195594675.0
1518195593775.0,1518195594775.0
1518195593875.0,1518195594875.0
1518195593975.0,1518195594975.0
1518195594075.0,1518195595075.0
1518195594175.0,1518195595175.0
1518195594275.0,1518195595275.0
1518195594375.0,1518195595375.0
1518195594475.0,1518195595475.0
1518195594575.0,1518195595575.0
1518195594675.0,1518195595675.0
1518195594775.0,1518195595775.0
1518195594875.0,1518195595875.0
1518195594975.0,1518195595975.0
1518195595075.0,1518195596075.0
1518195595175.0,1518195596175.0
1518195595275.0,1518195596275.0
1518195595375.0,1518195596375.0
1518195595475.0,1518195596475.0
1518195595575.0,1518195596575.0
1518195595675.0,1518195596675.0
1518195595775.0,1518195596775.0
1518195595875.0,1518195596875.0
1518195595975.0,1518195596975.0
1518195596075.0,1518195597075.0
1518195596175.0,1518195597175.0
1518195596275.0,1518195597275.0
1518195596375.0,1518195597375.0
1518195596475.0,1518195597475.0
1518195596575.0,1518195597575.0
1518195596675.0,1518195597675.0
1518195596775.0,1518195597775.0
1518195596875.0,1518195597875.0
1518195596975.0,1518195597975.0
1518195597075.0,1518195598075.0
1518195597175.0,1518195598175.0
1518195597275.0,1518195598275.0
1518195597375.0,1518195598375.0
1518195597475.0,1518195598475.0
1518195597575.0,1518195598575.0
1518195597675.0,1518195598675.0
1518195597775.0,1518195598775.0
1518195597875.0,1518195598875.0
1518195597975.0,1518195598975.0
1518195598075.0,1518195599075.0
1518195598175.0,1518195599175.0
1518195598275.0,1518195599275.0
1518195598375.0,1518195599375.0
1518195598475.0,1518195599475.0
1518195598575.0,1518195599575.0
1518195598675.0,1518195599675.0
1518195598775.0,1518195599775.0
1518195598875.0,1518195599875.0
1518195598975.0,1518195599975.0
1518195599075.0,1518195600075.0
1518195599175.0,1518195600175.0
1518195599275.0,1518195600275.0
1518195599375.0,1518195600375.0
1518195599475.0,1518195600475.0
1518195599575.0,1518195600575.0
1518195599675.0,1518195600675.0
1518195599775.0,1518195600775.0
1518195599875.0,1518195600875.0
1518195599975.0,1518195600975.0
1518195600075.0,1518195601075.0
1518195600175.0,1518195601175.0
1518195600275.0,1518195601275.0
1518195600375.0,1518195601375.0
1518195600475.0,1518195601475.0
1518195600575.0,1518195601575.0
1518195600675.0,1518195601675.0
1518195600775.0,1518195601775.0
1518195600875.0,1518195601875.0
1518195600975.0,1518195601975.0
1518195601075.0,1518195602075.0
1518195601175.0,1518195602175.0
1518195601275.0,1518195602275.0
1518195601375.0,1518195602375.0
1518195601475.0,1518195602475.0
1518195601575.0,1518195602575.0
1518195601675.0,1518195602675.0
1518195601775.0,1518195602775.0
1518195601875.0,1518195602875.0
1518195601975.0,1518195602975.0
1518195602075.0,1518195603075.0
1518195602175.0,1518195603175.0
1518195602275.0,1518195603275.0
1518195602375.0,1518195603375.0
1518195602475.0,1518195603475.0
1518195602575.0,1518195603575.0
1518195602675.0,1518195603675.0
1518195602775.0,1518195603775.0
1518195602875.0,1518195603875.0
1518195602975.0,1518195603975.0
1518195603075.0,1518195604075.0
1518195603175.0,1518195604175.0
1518195603275.0,1518195604275.0
1518195603375.0,1518195604375.0
1518195603475.0,1518195604475.0
1518195603575.0,1518195604575.0
1518195603675.0,1518195604675.0
1518195603775.0,1518195604775.0
1518195603875.0,1518195604875.0
1518195603975.0,1518195604975.0
1518195604075.0,1518195605075.0
1518195604175.0,1518195605175.0
1518195604275.0,1518195605275.0
1518195604375.0,1518195605375.0
1518195604475.0,1518195605475.0
1518195604575.0,1518195605575.0
1518195604675.0,1518195605675.0
1518195604775.0,1518195605775.0
1518195604875.0,1518195605875.0
1518195604975.0,1518195605975.0
1518195605075.0,1518195606075.0
1518195605175.0,1518195606175.0
1518195605275.0,1518195606275.0
1518195605375.0,1518195606375.0
1518195605475.0,1518195606475.0
1518195605575.0,1518195606575.0
1518195605675.0,1518195606675.0
1518195605775.0,1518195606775.0
1518195605875.0,1518195606875.0
1518195605975.0,1518195606975.0
1518195606075.0,1518195607075.0
1518195606175.0,1518195607175.0
1518195606275.0,1518195607275.0
1518195606375.0,1518195607375.0
1518195606475.0,1518195607475.0
1518195606575.0,1518195607575.0
1518195606675.0,1518195607675.0
1518195606775.0,1518195607775.0
1518195606875.0,1518195607875.0
1518195606975.0,1518195607975.0
1518195607075.0,1518195608075.0
1518195607175.0,1518195608175.0
1518195607275.0,1518195608275.0
1518195607375.0,1518195608375.0
1518195607475.0,1518195608475.0
1518195607575.0,1518195608575.0
1518195607675.0,1518195608675.0
1518195607775.0,1518195608775.0
1518195607875.0,1518195608875.0
1518195607975.0,1518195608975.0
1518195608075.0,1518195609075.0
1518195608175.0,1518195609175.0
1518195608275.0,1518195609275.0
1518195608375.0,1518195609375.0
1518195608475.0,1518195609475.0
1518195608575.0,1518195609575.0
1518195608675.0,1518195609675.0
1518195608775.0,1518195609775.0
1518195608875.0,1518195609875.0
1518195608975.0,1518195609975.0
1518195609075.0,1518195610075.0
1518195609175.0,1518195610175.0
1518195609275.0,1518195610275.0
1518195609375.0,1518195610375.0
1518195609475.0,1518195610475.0
1518195609575.0,1518195610575.0
1518195609675.0,1518195610675.0
1518195609775.0,1518195610775.0
1518195609875.0,1518195610875.0
1518195609975.0,1518195610975.0
1518195610075.0,1518195611075.0
1518195610175.0,1518195611175.0
1518195610275.0,1518195611275.0
1518195610375.0,1518195611375.0
1518195610475.0,1518195611475.0
1518195610575.0,1518195611575.0
1518195610675.0,1518195611675.0
1518195610775.0,1518195611775.0
1518195610875.0,1518195611875.0
1518195610975.0,1518195611975.0
1518195611075.0,1518195612075.0
1518195611175.0,1518195612175.0
1518195611275.0,1518195612275.0
1518195611375.0,1518195612375.0
1518195611475.0,1518195612475.0
1518195611575.0,1518195612575.0
1518195611675.0,1518195612675.0
1518195611775.0,1518195612775.0
1518195611875.0,1518195612875.0
1518195611975.0,1518195612975.0
1518195612075.0,1518195613075.0
1518195612175.0,1518195613175.0
