Start,End,Label,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
1518196688317.0,1518196693414.0,0,,,,
1518196693414.0,1518196704355.0,1,,,,
1518196704355.0,1518196715340.0,0,,,,
1518196715340.0,1518196725350.0,2,,,,
1518196725350.0,1518196736342.0,0,,,,
1518196736342.0,1518196747339.0,3,,,,
1518196747339.0,1518196757354.0,0,,,,
1518196757354.0,1518196768349.0,1,,,,
1518196768349.0,1518196779332.0,0,,,,
1518196779332.0,1518196790333.0,2,,,,
1518196790333.0,1518196800363.0,0,,,,
1518196800363.0,1518196811356.0,3,,,,
1518196811356.0,1518196822351.0,0,,,,
1518196822351.0,1518196833353.0,1,,,,
1518196833353.0,1518196844337.0,0,,,,
1518196844337.0,1518196854363.0,2,,,,
1518196854363.0,1518196865331.0,0,,,,
1518196865331.0,1518196876328.0,3,,,,
1518196876328.0,1518196886345.0,0,,,,
1518196886345.0,1518196896355.0,1,,,,
1518196896355.0,1518196907329.0,0,,,,
1518196907329.0,1518196918341.0,2,,,,
1518196918341.0,1518196929345.0,0,,,,
1518196929345.0,1518196940341.0,3,,,,
