Start,End,Label
1518198853102.0,1518198858266.0,0
1518198858266.0,1518198869140.0,1
1518198869140.0,1518198880112.0,0
1518198880112.0,1518198890147.0,2
1518198890147.0,1518198901132.0,0
1518198901132.0,1518198912126.0,3
1518198912126.0,1518198923128.0,0
1518198923128.0,1518198933158.0,1
1518198933158.0,1518198944124.0,0
1518198944124.0,1518198954153.0,2
1518198954153.0,1518198965120.0,0
1518198965120.0,1518198975150.0,3
1518198975150.0,1518198986138.0,0
1518198986138.0,1518198997129.0,1
1518198997129.0,1518199008131.0,0
1518199008131.0,1518199019138.0,2
1518199019138.0,1518199030137.0,0
1518199030137.0,1518199041136.0,3
1518199041136.0,1518199052130.0,0
1518199052130.0,1518199063123.0,1
1518199063123.0,1518199074114.0,0
1518199074114.0,1518199084129.0,2
1518199084129.0,1518199095139.0,0
1518199095139.0,1518199106142.0,3
