Start,End,Label
1517356321455,1517356326459,0
1517356326459,1517356336469,1
1517356336469,1517356346478,2
1517356346478,1517356356486,3
1517356356486,1517356366493,2
1517356366493,1517356376501,4
1517356376501,1517356386507,2
1517356386507,1517356396515,1
1517356396515,1517356406525,2
1517356406525,1517356416534,3
1517356416534,1517356426539,2
1517356426539,1517356436547,4
1517356436547,1517356446554,2
1517356446554,1517356456560,1
1517356456560,1517356466568,2
1517356466568,1517356476575,3
1517356476575,1517356486583,2
1517356486583,1517356496590,4
1517356496590,1517356506597,2
1517356506597,1517356516604,1
1517356516604,1517356526609,2
1517356526609,1517356536618,3
1517356536618,1517356546629,2
1517356546629,1517356556639,4
