Start,End,Label
1518025104469.00,1518025109476.00,0
1518025109476.00,1518025119484.00,1
1518025119484.00,1518025129491.00,0
1518025129491.00,1518025139502.00,2
1518025139502.00,1518025149507.00,0
1518025149507.00,1518025159515.00,3
1518025159515.00,1518025169523.00,0
1518025169523.00,1518025179533.00,1
1518025179533.00,1518025189541.00,0
1518025189541.00,1518025199552.00,2
1518025199552.00,1518025209561.00,0
1518025209561.00,1518025219568.00,3
1518025219568.00,1518025229577.00,0
1518025229577.00,1518025239586.00,1
1518025239586.00,1518025249593.00,0
1518025249593.00,1518025259601.00,2
1518025259601.00,1518025269609.00,0
1518025269609.00,1518025279617.00,3
1518025279617.00,1518025289626.00,0
1518025289626.00,1518025299635.00,1
1518025299635.00,1518025309646.00,0
1518025309646.00,1518025319657.00,2
1518025319657.00,1518025329668.00,0
1518025329668.00,1518025339675.00,3
